2017,Temp_high,Temp_avg,Temp_low,Precip,Rain,Snow,Fog,off_work,snow_plus_1
2017-01-01,46,44,41,0,0,0,0,1,0
2017-01-02,39,38,37,0.2,1,0,0,1,0
2017-01-03,43,41,39,0.59,1,0,0,1,0
2017-01-04,52,44,34,0,0,0,0,0,0
2017-01-05,33,30,27,0,0,0,0,0,0
2017-01-06,33,29,25,0.05,0,1,1,0,0
2017-01-07,26,23,20,0.32,0,1,1,0,1
2017-01-08,25,21,16,0,0,0,0,0,1
2017-01-09,23,19,14,0,0,0,0,0,0
2017-01-10,46,34,21,0,0,0,0,0,0
2017-01-11,52,47,42,0.52,1,0,0,0,0
2017-01-12,66,57,47,0.05,1,0,0,0,0
2017-01-13,62,47,32,0,0,0,0,0,0
2017-01-14,34,31,28,0.12,0,1,1,0,0
2017-01-15,38,34,30,0,0,0,0,0,1
2017-01-16,43,37,30,0,0,0,0,0,0
2017-01-17,42,40,38,0.35,1,0,0,0,0
2017-01-18,41,40,38,0.06,1,0,0,0,0
2017-01-19,49,44,39,0,0,0,0,0,0
2017-01-20,45,43,40,0.1,1,0,0,0,0
2017-01-21,49,45,41,0,0,0,0,0,0
2017-01-22,48,46,43,0.05,1,0,1,0,0
2017-01-23,44,40,36,1.16,1,0,0,0,0
2017-01-24,38,37,35,1.18,1,0,0,0,0
2017-01-25,51,44,36,0,0,0,0,0,0
2017-01-26,56,50,43,0.02,1,0,0,0,0
2017-01-27,43,40,36,0,0,0,0,0,0
2017-01-28,39,37,34,0,0,0,0,0,0
2017-01-29,43,39,35,0,0,0,0,0,0
2017-01-30,37,34,30,0,0,0,0,0,0
2017-01-31,34,30,26,0.06,0,1,1,0,0
2017-02-01,47,40,33,0,0,0,0,0,1
2017-02-02,45,39,32,0,0,0,0,0,0
2017-02-03,33,30,26,0,0,0,0,0,0
2017-02-04,34,28,22,0,0,0,0,0,0
2017-02-05,43,37,31,0,0,0,0,0,0
2017-02-06,49,43,36,0,0,0,0,0,0
2017-02-07,42,39,36,0.27,1,0,1,0,0
2017-02-08,62,50,38,0.03,1,0,0,0,0
2017-02-09,44,32,19,1.16,0,1,1,0,0
2017-02-10,32,26,19,T,0,1,0,0,1
2017-02-11,48,39,30,0,0,0,0,0,1
2017-02-12,40,35,30,0.46,1,1,0,0,0
2017-02-13,39,35,31,0.02,1,0,0,0,1
2017-02-14,41,35,28,0,0,0,0,0,0
2017-02-15,47,41,35,T,0,0,0,0,0
2017-02-16,35,32,28,0,0,0,0,0,0
2017-02-17,41,34,26,0,0,0,0,0,0
2017-02-18,63,49,35,0,0,0,0,0,0
2017-02-19,65,59,53,0,0,0,0,0,0
2017-02-20,55,47,39,0,0,0,0,0,0
2017-02-21,47,41,34,0,0,0,0,0,0
2017-02-22,57,50,42,0,0,0,0,0,0
2017-02-23,65,55,44,0,0,0,0,0,0
2017-02-24,70,64,58,0,0,0,0,0,0
2017-02-25,63,54,44,0.54,1,0,1,0,0
2017-02-26,44,40,36,0,0,0,0,0,0
2017-02-27,54,45,35,0,0,0,0,0,0
2017-02-28,59,53,47,0,0,0,0,0,0
2017-03-01,70,62,54,0.12,1,0,0,0,0
2017-03-02,64,50,35,0,0,0,0,0,0
2017-03-03,39,32,24,0,0,0,0,0,0
2017-03-04,30,24,17,0,0,0,0,0,0
2017-03-05,37,26,14,0,0,0,0,0,0
2017-03-06,45,36,26,0,0,0,0,0,0
2017-03-07,56,49,42,0.1,1,0,0,0,0
2017-03-08,59,53,47,0.02,1,0,0,0,0
2017-03-09,61,54,47,0,0,0,0,0,0
2017-03-10,47,35,23,0.31,0,1,1,0,0
2017-03-11,29,23,17,0,0,0,0,0,1
2017-03-12,29,24,19,0,0,0,0,0,0
2017-03-13,36,27,19,0,0,0,0,0,0
2017-03-14,32,27,21,1.97,0,1,1,0,0
2017-03-15,26,23,20,0,0,0,0,0,1
2017-03-16,39,32,24,0,0,0,0,0,0
2017-03-17,47,38,29,0,0,0,0,0,0
2017-03-18,39,37,34,0.08,0,1,0,0,0
2017-03-19,47,41,34,0,0,0,0,0,1
2017-03-20,52,43,33,0,0,0,0,0,0
2017-03-21,59,51,42,0,0,0,0,0,0
2017-03-22,50,37,24,0,0,0,0,0,0
2017-03-23,42,33,23,0,0,0,0,0,0
2017-03-24,57,47,36,T,0,0,0,0,0
2017-03-25,62,52,42,0.01,0,0,0,0,0
2017-03-26,42,40,37,0.14,1,0,0,0,0
2017-03-27,53,45,37,0.26,1,0,1,0,0
